prompt_id,category,removed,n_tokens,n_words,len_ratio,stopped_early,divergence_tok,diverged,prefix_frac,uni_f1,big_f1,distinct_1,distinct_2,distinct_3,loop_onset,looped_frac,ttr,mean_sent_len,py_parse_frac
explain_06,explain,2,1024,910,1.0,0.0,313,1.0,0.3056640625,0.93359375,0.9130009775171065,0.123046875,0.19941348973607037,0.22407045009784735,331,0.8564453125,0.12967032967032968,17.84313725490196,
explain_06,explain,3,1024,910,1.0,0.0,313,1.0,0.3056640625,0.93359375,0.9130009775171065,0.123046875,0.19941348973607037,0.22407045009784735,331,0.8564453125,0.12967032967032968,17.84313725490196,
explain_07,explain,0,1024,863,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1572265625,0.270772238514174,0.3258317025440313,253,0.896484375,0.1633835457705678,20.069767441860463,
explain_07,explain,1,1024,849,1.0,0.0,59,1.0,0.0576171875,0.6328125,0.4281524926686217,0.177734375,0.31671554252199413,0.3776908023483366,245,0.9228515625,0.19316843345111898,20.214285714285715,
explain_07,explain,2,1024,769,1.0,0.0,59,1.0,0.0576171875,0.5419921875,0.31085043988269795,0.216796875,0.40371456500488756,0.4980430528375734,330,0.8154296875,0.26527958387516254,11.651515151515152,
explain_07,explain,3,1024,625,1.0,0.0,59,1.0,0.0576171875,0.240234375,0.14173998044965788,0.1298828125,0.24437927663734116,0.29549902152641877,368,0.6611328125,0.1968,48.15384615384615,
explain_08,explain,0,1024,879,1.0,0.0,0,0.0,1.0,1.0,1.0,0.2294921875,0.40371456500488756,0.45107632093933464,525,0.529296875,0.23094425483503983,15.155172413793103,
explain_08,explain,1,1024,779,1.0,0.0,453,1.0,0.4423828125,0.4853515625,0.4418377321603128,0.22265625,0.37732160312805474,0.4178082191780822,472,0.5615234375,0.2503209242618742,4.930379746835443,
explain_08,explain,2,1024,779,1.0,0.0,453,1.0,0.4423828125,0.4853515625,0.4418377321603128,0.22265625,0.37732160312805474,0.4178082191780822,472,0.5615234375,0.2503209242618742,4.930379746835443,
explain_08,explain,3,1024,779,1.0,0.0,453,1.0,0.4423828125,0.4853515625,0.4418377321603128,0.22265625,0.37732160312805474,0.4178082191780822,472,0.5615234375,0.2503209242618742,4.930379746835443,
explain_09,explain,0,1024,883,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1533203125,0.260019550342131,0.2847358121330724,332,1.0,0.16534541336353342,18.020408163265305,
explain_09,explain,1,1024,859,1.0,0.0,103,1.0,0.1005859375,0.5947265625,0.3489736070381232,0.2197265625,0.4506353861192571,0.5547945205479452,317,0.560546875,0.25261932479627475,17.916666666666668,
explain_09,explain,2,1024,873,1.0,0.0,40,1.0,0.0390625,0.5859375,0.2854349951124145,0.21875,0.4633431085043988,0.5939334637964775,398,0.525390625,0.2565864833906071,14.14516129032258,
explain_09,explain,3,1024,870,1.0,0.0,53,1.0,0.0517578125,0.6337890625,0.3519061583577713,0.2041015625,0.3978494623655914,0.4931506849315068,520,0.802734375,0.22413793103448276,16.846153846153847,
explain_10,explain,0,1024,880,1.0,0.0,0,0.0,1.0,1.0,1.0,0.2255859375,0.4760508308895406,0.6027397260273972,608,0.4189453125,0.24772727272727274,20,
explain_10,explain,1,1024,904,1.0,0.0,125,1.0,0.1220703125,0.494140625,0.2512218963831867,0.1298828125,0.24633431085043989,0.30919765166340507,375,0.75390625,0.1404867256637168,11.894736842105264,
explain_10,explain,2,1024,907,1.0,0.0,125,1.0,0.1220703125,0.501953125,0.25317693059628543,0.12890625,0.24437927663734116,0.30724070450097846,378,0.7548828125,0.13891951488423374,12.256756756756756,
explain_10,explain,3,1024,876,1.0,0.0,52,1.0,0.05078125,0.615234375,0.3949169110459433,0.1220703125,0.24535679374389052,0.30528375733855184,359,0.994140625,0.12899543378995434,15.696428571428571,
explain_11,explain,0,1024,889,1.0,0.0,0,0.0,1.0,1.0,1.0,0.2109375,0.37732160312805474,0.43933463796477495,529,0.568359375,0.2249718785151856,18.914893617021278,
explain_11,explain,1,1024,886,1.0,0.0,8,1.0,0.0078125,0.4833984375,0.1710654936461388,0.1220703125,0.2209188660801564,0.2602739726027397,335,0.99609375,0.136568848758465,17.372549019607842,
explain_11,explain,2,1024,882,1.0,0.0,8,1.0,0.0078125,0.478515625,0.1681329423264907,0.12109375,0.21896383186705767,0.2583170254403131,334,0.99609375,0.13718820861678005,16.96153846153846,
explain_11,explain,3,1024,840,1.0,0.0,110,1.0,0.107421875,0.5693359375,0.30498533724340177,0.19140625,0.32649071358748777,0.35909980430528377,343,1.0,0.20357142857142857,20,
explain_12,explain,0,1024,788,1.0,0.0,0,0.0,1.0,1.0,1.0,0.2099609375,0.40371456500488756,0.4774951076320939,544,0.87109375,0.23857868020304568,15.470588235294118,
explain_12,explain,1,1024,799,1.0,0.0,66,1.0,0.064453125,0.8798828125,0.7888563049853372,0.193359375,0.36852394916911047,0.44031311154598823,556,0.951171875,0.21777221526908636,16.306122448979593,
explain_12,explain,2,1024,733,1.0,0.0,8,1.0,0.0078125,0.4912109375,0.2854349951124145,0.197265625,0.3812316715542522,0.46477495107632094,522,0.5595703125,0.252387448840382,10.779411764705882,
explain_12,explain,3,1024,762,1.0,0.0,8,1.0,0.0078125,0.6123046875,0.3284457478005865,0.2412109375,0.48778103616813295,0.6086105675146771,637,0.4423828125,0.2926509186351706,13.607142857142858,
explain_13,explain,0,1024,902,1.0,0.0,0,0.0,1.0,1.0,1.0,0.09375,0.16226783968719452,0.18688845401174167,238,0.935546875,0.10421286031042129,17.0188679245283,
explain_13,explain,1,1024,902,1.0,0.0,1024,0.0,1.0,1.0,1.0,0.09375,0.16226783968719452,0.18688845401174167,238,0.935546875,0.10421286031042129,17.0188679245283,
